Review 
"This hotel is in desperate need of renovation and to upgrade its service. It used to be a tremendous property but it is not well maintained: hot tubs aren't hot, toilets run, elevators smell (overheard in elevator ""I won't miss the smell of this elevator""),...More"
The room was spacious. The staff was friendly and attentive. The grounds were gorgeous. I had a housekeeper (Sam) who brought my favorite flavor of cookie for turn-down every night- above and beyond! It was nice to not have to fight for pool chairs like I have at other resorts. There were plenty here. Every night there were local crafts for sale in the lobby and entertainment. I also liked the filtered water stations all over the hotel!
"What a disappointment. The only thing I liked about this hotel was the opulent and spacious lobby. There was nothing special about this hotel and the food was subpar at best. I sure wanted to take a hot bath in my room -- problem was there was no bathtub in my room, just a shower. Never again. Stay at a cheaper hotel on the north end of the island."
"We loved the Grand Hyatt! The pool and lazy river can’t be beat. The lawn and gardens are perfectly manicured, and Shipwreck beach is perhaps the most picturesque on the south side. Our partial ocean view room’s view was absolutely lovely. Poolside food and drinks can’t be beat, especially on a sunny day. We’ll be back."
"Very nice hotel and grounds but the rooms are just standard hotel rooms. For $500 a night you would thing the room would better than a Hampton Inn. Will not be going back there. They started some work on the room next to ours and were using a jackhammer, you would think they would make to guest were out. Morons!"
"Hyatt in Kauai the best hotel on this beautiful island. It's a high end hotel so expect it to be pricey, but worth every penny spent. The property is beautiful with an exceptional service. Rooms are spacious, comfortable and very clean. Enjoyed every minute of...More"
"We stayed at this resort for 5 nights in an ocean view room. The room was spacious and it had a view of the ocean, as promised. Breakfast was included in our package and they had a pretty generous spread every morning. Breakfast views from...More"
This is a great hotel for conferences or conventions but not quite as enjoyable for a couple seeking a relaxing place to stay. The setting is stunning and the accommodations are wonderful. The staff is attentive but service seems slow during busy periods or when...More
the Grand Hyatt in Kauai is a high end hotel with exceptional service. Pros + Service - I cannot say enough how wondering the service was. Everyone at every level was exceptional nice and accomodating + Room - we used points for this stay and...More
"We love visiting the Grand Hyatt. Highly recognized for its love of Wildlife (many water birds, a resort cat named, Grand and a Hen and her chicks enjoying the spacious scenery) the resort loves and cares for. The spacious landscape is unbelievably stunning - lush...More"
It's like they gave the landscape architects an unlimited budget. Every corner of this property is crammed with tropical plants and interesting visual features. The multi-level cascading pool is simply amazing and ending up at the self-contained salt water pool complete with a sandy beach....More
Recently stayed at the Grand Hyatt JB Kauai for a industry convention. Got there around 10:00 at night and went to the room. We were very pleased with the spacious room we got. From there we went for some drinks to the Stevenson Library bar....More
"A wonderful surprise even though we expect all Grand Hyatt’s to be great. This is a beautiful property on the sunny side of the island. While older, it’s beautifully maintained. Rooms with full on excellent ocean views, good shopping and the restaurants at the hotel...More"
"I have been here for a business meeting. The hotel is very big, with wide bedrooms and several Restaurants. Nice swimming pool with Warm water areas, true sands and pool Bars. Staff is nice and helpful, unfortuntely it is huge but signals are not well...More"
The Grand Hyatt Kauai Resort and Spa is an amazing resort. The staff catered to our every need and worked very hard at making us feel special. The pools are open twenty four hours a day and I recommend swimming at night when you can...More
"We had a terrific time with the pools, beach, restaurants and rooms. The variety of restaurants was lovely. The food was delicious and tasty. The fitness room was a bonus with great equipment and good size weight room."
"My husband and I shared a couples getaway here, with several other couples. The pools are nice and clean. Oursuite was beautifully decorated and had an amazing view. Plan to get your exercise walking TOO FAR to everything. It's a large resort from end to...More"
"We ended up spending a night at the Grand Hyatt because our airplane broke and it was the last flight of the day. The airline paid for our suite for the two of us, and it definitely is one of the top three hotels of...More"
My husband and I stayed here on our recent trip to Kauai and loved it! The worst thing I can say about it is that we were gone most of the day so didn’t get to make use of all the property has to offer...More
"This is one beautiful property that is equally matched in service. The grounds are perfectly landscaped. The many pools, lazy river and water slide offer a wide variety for those who want to play or relax. There is no fighting over the lounge chairs at...More"
"This property is absolutely gorgeous. Its hard to nail down a single detail that made this place amazing but it was literally everything about the property. The only negative I can think of is the beach was red-flagged for dangerous surf during our stay, but...More"
"This was our third visit to the Grand Hyatt Kauai, and all three visits were outstanding. This trip started out on a bad note in that our flight was seriously delayed, so I called ahead and the front desk handles the cancellation without penalty. When...More"
We just spent a week at the Grand Hyatt Kauai. We've been to Hawaii a few times in the past two years and usually opt for a house or condo. We traveled with two other couples and decided on the Hyatt. The grounds are wonderful....More
