Review 
"Great experience, staff very helpful and prompt, the location is amazing, the view of the bay and mountains has got to be one of most beautiful in the world. Traffic on the Northside of Kauai is much less than South Kauai. Hanalei Resort is about...More"
"My wife and I think this is the most beautiful property we have ever seen. The views of Hanalei Bay, Bali Hai and the mountains are spectacular. Coffee and breakfast on the lanai with serene mountain and bay views were wonderful and relaxing. 

We shared a 2-bedroom unit with another couple, and the accommodations were clean and comfortable. 

The Ukulele Bar at the beautiful pool was a wonderful addition to HBR's amenities. We one dinner at the recently-opened Happy Talk Lounge, and hope that the Bali Hai Restaurant will open soon. 

Each and every HBR staff member was positive and friendly, with the ""Aloha Spirit"" embedded in all of their actions."
"This time-share resort is quiet with beautiful landscaping, ample tennis courts and very close to the golf course (neither of which we tried). This was during the ""down season"" and it was very rainy.
It is rather dated and could use some TLC. The chairs of the dining set and stools were pretty filthy. A good shampooing could have resolved that. Carpet was rippling badly and could use a stretching to avoid an accident. There was construction going on including jack hammering so maybe they are on it.
We had a 2 bedroom with lock off (#5101&2) and the room with 2 queens has no A/C nor windows to open so being on the ground floor was difficult---very hot. Both bathrooms had a vent but no fans (??)
Concierge gave us the wrong directions to a restaurant which took us way out of our way. When we checked in we were told there was a $20 fee per person, per day (ouch!) for parking---which is tight--WiFi usage and a pool towel. Really? We didn't use their WiFi and only 1 towel each. It was not a good way to start the trip---but learned later it was $20/day no matter the # of people in your room(s). 
There are limited amenities--the restaurant is not open due to construction. 
Try a cocktail at the St Regis (approx 1 mile away) for a sunset. The beach path takes you right to it's pool area or the lounge upstairs is spectacular.
Chickens are everywhere and very cute with chicks but can mess your patio quickly.
Didn't deserve a Silver rating on Interval Intl."
"Wow! This is a take your breath away resort. Great staff, great accommodations, great pool, lots of well maintained tennis courts, some of the best views in the world. Biggest issue is they are always full, it takes luck to get a reservation. There are lovely two and one bedroom apartments. So much better than a hotel room! This is one of the best choices of the islands!!"
"Although a third floor, ocean view condo is always our request, the mountain view units are stunning as well. The grounds are impeccable. The resort is older, but updated. The units are extraordinarily roomy. (Not found in newer resorts) You cannot find a more beautiful settling on the island! The staff is there to make sure you are well taken care of and you feel the 'Ohana the minute you check in. Most have been there for many, many years and there is a feeling of pride of ownership displayed by all from the front desk to the grounds keepers. Hanalei Bay Resort has spoiled us and has raised the bar for any other places we have traveled!"
"We stayed in room 2201/2202. It was updated, clean, and the bed was comfortable. The view from our room was fantastic. There's nothing better than sleeping with a Hawaiian breeze! I read other reviews about rude staff but we didn't experience this. Everyone at the...More"
"The resort was fun even though it rained daily. The hot tub was great, and the views are spectacular, great waterfalls. The new pool bar had live music several times during the week, and we got to talk to the performers."
"We were here in February and will bring our kids back in July. They love this place, too! We travel a lot, and our favorite place to be is Hanalei Bay Resort. Beautiful grounds, friendly staff, great tennis. It is a perfect place to relax...More"
"We spent 3 nights at this resort. We had small unit with a nice view of the grounds. The room was comfortable, with a decent bath, and a small kitchen, consisting of a small refrigerator, sink, and a two burner stove. Too small to use...More"
We have been coming to HBR for several years to celebrate our anniversary. We have a timeshare there. The resort is older but our units have been updated and very nice. We love the property with access to the beach by foot or golf court....More
I think the problem with this place is that the retirees who call this place home have ruined the potential to make this a great place to vacation. This is our second time here and honestly - we thought after 2 years they would have...More
This could possibly be the best condo resort on the whole island of Kauai. The landscaping is beautifully manicured with flowers blooming everywhere. It has a fantastic saltwater pool with swim up bar; plus great live music nightly. Can't wait to go back.
"The property is nice, pool, beach access, rides to beach. Room is in need of remodeling dated, wooden slates of door falling out, stove top large eye didn’t work, toaster had to be held down, air in unit not working well. Restaurant food was ok...More"
We recently stayed at the Hanalei Bay Resort with 2 other couples. Dispite the emence amount of rain we had we had the most amazing stay. The views were breath taking. The rain brought more waterfalls then seen in years. We will absolutely return to...More
Here you will find what Kauai is about the Beauty of the sunrise and sun sets are breathtaking.. The staff at Hanalia Bay Resort is like family. The aloha of love as you arrive truly touches ones heart . The grounds are a spetural garden...More
"Great beach access - Walk down to Hanalei Bay..Two swiming pools and 8 tennis courts.. No cars on the property. Golf cart transport to your unit, or hike if you want some exercise.). Absence of cars near units makes for a very tranquil setting. Separately...More"
"We were in rooms 5307-08 and if you like views and/or relaxing this is the place for you! From our unit we had views of mountains, waterfalls, Hanalei beaches, and the ocean. The grounds were impeccable including lawns like golf greens, orchids growing on trees,...More"
"This is really a fantastic property! It has HUGE recently upgraded 2 br/2ba accommodations, and a fantastic swim up Ukulele Bar! With 8 tennis courts, it's probably the BEST place to go for tennis players! Staff is very accomodating and will shuttle you anywhere on...More"
"This place is a gem. The 2 BR condo was gorgeous, clean, quiet and had views to die for. The service was phenomenal and there was plenty to do on the resort property( beaches, snorkeling, eating at the Happy Talk Lounge, having morning coffee on...More"
"We decided at the last possible minute to visit the North Shore for a few nights, and Hanalei Bay Resort had availability. In addition, because of ongoing construction work on the property their rates were discounted. The room we were given had a ""mountain view""---we...More"
We returned to Hanalei Bay Resort and loved our visit. The property is beautifully landscaped with almost all units with views of the bay. The staff is very friendly to all guests . They are eager to help make each visitor feel welcome. We feel...More
"The resort is absolutely beautiful. The pool, hot tub and swim up bar were clean and convenient to our condo. We loved being able to go down to the beach and swim also. The staff is very friendly and helpful. Would highly recommend staying here."
The rooms are spacious and in good repair. The views are amazing! The grounds are also gorgeous. This is an extraordinary place and it just keeps getting better. Our room was 7205-6 and had glorious views of Hanalei Bay and the Hanalei mountains. The view...More
