Review
"We had a fabulous experience at the Koa Kea - terrific pool, hot tub, rooms and delicious menus at the restaurant and the pool bar. The staff were over the top considerate, friendly and accommodating."
The minute you walk into this place you relax. It has such a nice feel to the hotel and very clean and rooms are to a high standard. You have amenities close buy if you fancy a stroll out for dinner. I miss this place already!
"We got a great deal for Koa Kea through AAA and recently spent a week there. We love the place, especially compared with some of the more overblown and really big places. The room we had was really spacious (deluxe ocean view) with separate living...More"
"We stayed for five nights as a couple to celebrate our birthdays and anniversary. We thought the location was very centrally located and felt Poipu was the right choice! We tended to do other activities most of the day (Kayaking in Hanalei Bay, helicopter tour,...More"
"This is a hotel for couples! Charming and relaxed, it lends itself to the perfect getaway. Centrally located, you can walk up and down the beach and enjoy the sunsets. Fabulous restaurant on property as well. Koa Kea was the highlight of our trip. Thank...More"
"Every aspect of the property is ""over the top,"" We have been to the Hawaiin Islands for over twelve years, this is our second trip to Kauai, and have never experienced such Aloha spirit before. Each island has it's own feeling, but for us, the...More"
"As a couple, we enjoyed five days at Koa Kea. It was our first time in Hawaii, and Koa Kea and the island of Kauai did not disappoint. The location is obviously the big draw at Koa Kea, and it does not disappoint. We stayed...More"
"We stayed at the Koa Kea for the third time in February 2018 for 4 nights. It was a getaway for my birthday and as always was a wonderful stay. The location of this hotel is wonderful, the rooms are large and the bathroom is...More"
My husband and I stayed at the Ko’a Kea for 4 nights in February. I cannot say enough great things about this hotel. The staff is so friendly and accommodating and they had the best recommendations for things to do around the island. The hotel...More
Answer me this; when was the last time the bellman walked you to the front desk and introducted you to the desk clerk who then check you in and escorted you to your room? That happened at Koa Kea and exemplifies the service during our...More
"We booked this hotel for three reasons: 1. it is a Meritage property, 2. we read on prior reviews that it was not great for families ( a real plus, since we don't enjoy other peoples' kids while we are on a much needed vacation);...More"
"This hotel is located but a few steps from Poipu Beach. If you are looking for a hotel on this side of the island which has the closest access to the beach, this is it. To be clear, there is no “direct” access to the...More"
"This was my wife and my third stay at the Koa Kea and we were certainly not disappointed. The staff is friendly, helpful, and efficient. The grounds are clean, the room spacious, and the pool and hot tub area very nice. We had sushi at...More"
"Spouse and I just stayed here. We loved it! ,The valets and front desk staff and cleaning crew were all so helpful and friendly. The valet parking really is more efficient. We enjoyed the lounge chairs, gym and pool. Good hotel for people without kids,...More"
"Overall the quality and service levels were unparalleled on the island. Koa Kea has all the amenities and services of a large 5 star resort, but with intimacy of a small B&B. Well done and I would highly recommend for couples looking for a romantic...More"
"It takes a lot for me to be moved to write a review these days, but staying at the Koa Kea did it. This resort is absolute perfection. My husband and I stayed for her for 4 nights in Jan 2018 in a Deluxe Oceanfront...More"
"We stayed 5 nights in January, our first trip to Kauai. The room was clean, comfortable and resupplied with towels and amenities throughout the day. Concierge arranged for excursions for whale watching and helicopter tour of the island that exceeded expectations. My husband took surf...More"
"The hotel was super comfortable, not too big and the beach is right there. The pool and hot tub are great to relax in after a day of hiking and exploring. The staff was friendly. The massage was nice but nothing to write home about....More"
"Fiance and I had a fantastic time at Koa Kea. We spent 5 nights there for our ""pre-honeymoon"" after visiting Maui for 7 nights. This hotel was amazing. The staff is so friendly and welcoming. They remembered my fiance and I and asked how we...More"
"While this hotel may not give off a regal feel, it is clean and well maintained. It is a rather small hotel, but that just makes it so much better for a quiet getaway. The staff is incredibly friendly and will go out of their...More"
My husband and I started our honeymoon in Maui for four nights and then ended our week vacation for the last 3 days in Kauai at Koa Kea resort. We were so impressed with this resort and both agreed we wished we would of had...More
"We ‘hotel-hopped’ while in Kauai and so far Ko’a Kea is the best. It’s boutique style and personal service is amazing. From checking in to checking out, service is top notch. Pros: small feel hotel, great access to pool and beach, and amazing service. You...More"
We just stayed at the Koa Kea resort for the past 6 days and we absolutely loved every moment of our stay! My husband and I travel a lot and we are definitely picky about the resorts we stayed at. We chose to stay here...More
"First and last, you need to know the name Justin. He's the resident Head Sushi Chef, and will absolutely amaze you with his combinations of both the bold and subtle flavors that he layers on top of great local and classic cuts of fish. (I'm...More"
"This was the best hotel experience ever! Great staff, beautiful sunsets and sunrises... perfect beach access, and is in a perfect location in Poipu. I cannot recommend this hotel enough!! If you eat in their Red Salt Restaurant, ask for Chris to be your server!"
"Stayed at this hotel for the first week of our honeymoon had been recommended as a 5 star resort ideal for honeymoon and couples by travel agent. Boy were we disappointed there is no atmosphere in this place at all, guests look miserable and the...More"
"This hotel has all the advantages of a small ""boutique"" style hotels. The service is over the top excellent and friendly and really make you feel like you are their only guest. The Valets know all the sights and restaurants and things to do and...More"
Came here for a 7 night visit and fell in love with this resort! It's a smaller property and has a more intimate feel. The service from everyone was great! I had a room on the third floor with an ocean view and it was...More
Koa Kea has a small complex which is shepherded away from the rest of the beach resorts. The valet staff were so friendly and helpful and there is an intimate feel about to the resort. Although we were up in a corner of the hotel...More
