"When planning our return trip to Kauai, husband and I were happy to read that all the renovations to the Koloa Landing Resort were completed. We then went ahead and booked a deluxe studio for mid-October. Upon our check in after a long flight and dark rainy drive from the airport, we were greeted warmly at the front desk. While we are platinum status, we weren't expecting a room upgrade, but much to our delight, was advised by the clerk that we received one. However, it wasn't until we got to our room, or should I say villa, how nice the upgrade was. It was a one bedroom, 1 1/2 bath, almost 1000 square feet corner villa with 2 full walls of windows in the lovely living room alone. The villa was beautiful. Our view of the smaller family pool and soccer field was so nice. Really enjoyed being in this area as it's quieter than the large main pool. This property is amazing - everything is well maintained and all of the staff that we interacted with were very nice. 

Tip - I noticed through the various reviews that those guests that weren't happy with this property, primarily were disappointed that it wasn't a full service luxury resort, with valet parking, multiple restaurants, 24 hour room service, nightly turn-down service, housekeeping daily (every 3rd day they do a full cleaning), but do provide towels and empty waste baskets daily. You can request daily full cleaning for an extra charge. Additionally, some reviewers are disappointed that it's not beachfront. The thing is, all of the Koala Landing Resort's information indicates what it is and isn't as well as all of the reviews on this site as well as others. That is how I knew I wanted to stay here - I wanted a more upscale villa/condo like setting. If I wanted some of the other amenities, there are other places to choose from."
"Stayed here February 2018. Our second visit to this property in two years. Was under construction during our first visit. The additions to the property were well worth waiting for. New pool is amazing but draws a lot children at one end. Spent one day at the upper end without kids, which was nice. Spent several days at the Tranquility Pool, which is my favorite and no kids allowed. Had a smaller villa this trip. Only one bedroom but more than big enough for our needs. The villas are beautifully decorated. Two bathrooms. Tub and vanity in one, the other toilet, vanity, and shower. Kitchen has everything you need to do as much cooking as you could want, including dishwaher. Also, had washer and dryer and two tv's. My only complaint was the blow dryer. Had next to no power. Glad I have short hair. The velvet like pouch with the resort logo embroidered on it had to be worth more than than the blow dryer.
The new Holoholo Bar and Grill is a wonderful addition. Our favorite bartender from two years ago was still there. Her name is Nicky. She can never do enough for you.
Be sure to look her up. You won't be sorry! The entire staff is pretty amazing. Will I stay here again? You bet I will."
"We looked at so many hotels before finally booking at Koloa Landing. They refer to it as a ""resort"" but it is hardly that at all. Upon arrival no one greeted us, no one bothered to help us with our bags, and no one to even valet our rental car if we were interested in doing so. One person worked the front desk while a line formed. The front desk staff is not welcoming and certainly did not make us feel the Hawaiian spirit that we have felt in so many other Hawaiian hotels. We made it to our room which was sub-par. Our view out of the sliding glass door was of the parking lot. The room was very dark. Again, not the Hawaiian vibe that you would like when spending this much on the room. We made our way out to the pool. Its nice but way off in the distance is the ocean. WAIT! This hotel doesn't even sit on the beach like all of the others? The website sure makes you feel like you are going to be! What a joke! The best part, after paying $495/night we see on the key card holder that housekeeping only ""cleans"" your room every third day! So, for $495/night my husband and I made our own bed each day. This has the look and feel of a Airbnb or Condo rental - not a ""resort"". I would say the best people this hotel would be for is a family with little kids. The rooms have a kitchenette that would allow you to have food on hand. 

We've stayed at the Four Seasons and Ritz Carlton for the same price but with an abundance of ""resort"" amenities, friendly staff, and exceptional rooms in comparison. Never again will we fall for a beautiful website. Such a waste of money."
"We were in 401 building 11, fantastic views from all rooms. A little of the parking lot, but looking over that made it un-obstructed to the water. The only reason I did not give 5 stars, as that is what the villa rated, was the following: 1) large slide closed two of three days; 2) incident in the main pool had it closed one day; 3) coffee maker did not work and was replaced too late to use for breakfast first day; 4) the morning staff when we stopped by before check in, was very indifferent and did not acknowledge any status, gave the were too cool for you impression, as a lifetime gold with >500 stays I was not impressed with her either. The afternoon staff was great and welcomed us with a nice lei greeting.

The rest of the staff was great. We stored our luggage and groceries until our 4 PM arrival. The bar staff was wonderful, the room attendant was perfect (efficient and pleasant) and it was clear about the extra services. Unless you a total slob, you can keep your villa up for a couple of days between cleanings, they do come and get trash, gave you more towels and coffee. We do not have small children, and would come back in spite of them causing the pool to close for one day. Oh, finally great snorkel / diving spot just 100 yards down the beach and surfing lessons 1/2 mile the other direction!!!"
"This is a beautiful, recently upgraded property in a very good location. We appreciated the ease of walking to nice dinners, shopping, gorgeous sunsets and the kitchenette and laundry in our room. Everything feels brand new. 
Sadly our first and last impressions with the lobby staff were negative. They seem disinterested in their guests and give off an air of being bothered by guests when it comes to doing their jobs. At check in the woman asked for our children’s names to add them to the reservation. Having unique names they attempted to spell them for her. She sighed a heavy sigh and said it didn’t really matter how they were spelled. She never recognized platinum status or offered the welcome gift, upgrade, etc. Later my husband went back and asked about these things to be coldly told they could do the welcome gift but had no upgrades available - without even looking. However, the hotel was not even close to full and upon looking online there were plenty of larger rooms available all over the resort. 
Before checkout we requested a late checkout and that was declined. The staff in the lobby at checkout acted like they were glad to see us go. It’s not like we are rude or loud or had been a problem at any point in our stay so I have no idea why every person at the check in desk acted like we were bothering them. 
For this reason alone I doubt if we’d return to this hotel but would instead try another Marriott property on island. 
If you do choose to stay here and plan to use the pull out couch, make sure to request a pad for the mattress. That made a big difference for our kids."
"View from reception lobby is instant postcard scene - lush garden, pool area, ocean - that makes you pat yourself in the back for a good choice. Pool area is excellent: main pool with cave & waterfall, infinity pool, slides, hot tubs etc. Our room...More"
"For about 600 dollars a night you get a view of the parking lot,a maintenance facility and no privacy. You also get to make your own bed and we were told that half of the pools are closed to ‘upon further notice’. If you think...More"
Our room was exceptional but it was not ready late in the afternoon when we arrived. We had to debate with the front desk staff about the resort fees. WiFi fee? We have Platinum status so that is supposed to be free. Parking fee? The...More
"This hotel has a view of water, but is not directly on the beach. There are some nice pools. We are platnium and got upgraded to one bedroom. It had a nice full kitchen with full washer and dryer. The bathroom had a huge soaker...More"
"I stayed on Kauai for 6 days, thereof 5 days in Hanalei. For my last night there were no free rooms in the north of the island any more and therefore I booked that night in Koloa Landing Resort. Because of the heavy rain on...More"
"Second time to this property. Rented a three bedroom condo. Good location, accommodations and lovely view. Property is well kept and wonderful pools and slides for my 4 year old granddaughter. The staff is extremely helpful and friendly.More"
"Great resort with friendly staff and an amazing pools there are 3 of them. The main pool, lagoon, and adult pool. We had a standard suite with a king bed and a sofa bed with a decent sized mini fridge and a cook top. We...More"
"Our party of 4 rented a two bedroom condo just down the street which turned out to be a disaster , dirty , roaches, not up to date, being able to get our money back, we called Marriott central reservations and were able to rent...More"
"Found this hotel through Expedia for a pretty good value. A nice hotel with a lot of amenities for a great price. I was surprised by the full-sized washer and dryer, and kitchenette, since I totally forgot it was part of the room. It was...More"
"I stayed at the resort with my best friends family for 7 nights. At first it was not as easy to book a room that can have both of our family by getting two connection rooms, but once I called the resort directly and ended...More"
We enjoyed our stay here. The staff were friendly and helpful. Public beaches are within walking distance. The small cafe had good food. Only the newer buildings have elevators. We were in a studio facing the adult pool so it was quiet.
We absolutely loved everything about this hotel! Rooms were immaculate. Great kitchenette area. Pools were stunning... Although a little cold initially however it was reported they did turn the heat on which helped make it more enjoyable. Fabulous location. We would highly recommend this hotel!!!More
"Just finishing up a 5 night stay at Koloa Landing Resort. I am a Marriott Platinum rewards member and was using rewards points for my stay. Check-in was a breeze, and was recognized as Marriott Platinum and was offered either 500 rewards points or a...More"
My twin sister and I swam in this beautiful pool with waterfall between 2 large rock formations. The magical feeling of a back massage by water while swimming could have kept me swimming for hours! I would not suggest the backstroke as the water would...More
When your paying over $600 a night PLUS a $32 daily resort fee I think you should be getting your room cleaned EVERYDAY. They only clean your room every three days. Ya get fresh towels delivered daily but that's it! There is no poolside cocktail...More
"My Mom and I stayed here for 15 days. Very pleased with everything! I've already made reservations in September to come back and bring my husband. The resort is centrally located in Poipu, a lot around to do. Great snorkeling at a few places very...More"
"Great swimming pool with a waterfall,slide, & hot tubs.Pool could be heated a little more. Don’t pay for the ocean view. Just walk down to the edge of the property and cross the street to watch the sunset.Easy drive to Poipu and Lawai beaches. Sofa...More"
"This was our first time staying at Koloa Landing Resort. It was such a clean, well run resort. Thank you to the excellent housekeeping staff who made up our rooms each day and did an excellent job. These were perhaps the cleanest, most comfortable rooms...More"
"February 17-25, 2018 we had a family reunion and stayed at the Koloa Landing Resort. The place was extremely clean, comfortable and well equipped villas. The staff was friendly, helpful and on the ball with any needs we called about. We had a villa by...More"
"Great room ( upgraded via Marriott status), excellent pools, workout facility, and most of all location. Waking distance to Sheraton Beach, Poipu Beach, and local shopping center. Excellent restaurant. Highly recommended."
"I'm writing this review on a lazy and relaxing afternoon from our balcony because our plans for golf were interrupted by the stormy weather. Although we just arrived late yesterday evening for our 3 night stay, I am already so impressed with this property overall...More"
"This resort is awesome. We had a 3 bedroom villa, and it was beautiful. We had a great room, with a lovely view of the grounds and pools, and could see the ocean in the distance. It was a very pleasant and enjoyable stay."
This resort is excellent in all respects. The rooms are well appointed and in great condition. The staff went above and beyond the call of duty to make our stay enjoyable. I would return here in a heartbeat.
"Horribly soft and worn mattress with high loft, hard pillows. Had to sleep 6 nights out of 7 in the living room on an air mattress using the chair/couch pillows (the hotel said they had down pillows as an option, but had run out!). Unfortunately...More"
"Just returned from a great trip to Koloa Landing, after reading extensively the other reviews on here we chose this property and we were not disappointed. Great for kids, great location, plenty to walk to. Staff was very nice and always greeted with a smile....More"
"This property is new and there is no doubt the pool is amazing! But I wouldn't stay here again, because it was more family friendly than romantic and couple oriented. I think if we had kids there, they would have had a blast tho! So...More"
"Here with family of 7. Got the 3 bedroom suite. I have to say, it really is quite nice! Place has good ceiling height, spacious layout and modern equipments. Overall cleanliness and quality is good and above average as well. Location of this place is...More"
"We booked a room using points. I am a lifetime platinum Marriott member, and have traveled the world. This was our first visit to Hawaii and doubt any other property would have been as perfect as this! The location was awesome, close to the beach,...More"
"We held our daughter's wedding reception at Koloa Landing on December 29, 2017. The property was absolutely beautiful, the service was superb and the food was delicious! Mahalo Mahalo for a wonderful and memorable evening!!"
