Review 
"This property is a time share/hotel. We booked a week. We booked a suite - which had a separate bedroom and pullout couch and a spa bath. Average price $450-740 per night.
Quite a large property with 7 buildings - we were in Building 3. Lots of walking as you can't park near any of the buildings. It rains in Kauai in March - a lot - so make sure you have umbrellas. Great place for families with children - kids pools. No beach access on this property, but you can have access to the St Regis beach - about 10 minutes away. Restaurants on the property are convenient but expensive. Friendly staff, business center. It is located about 10 minutes (driving) from the main shopping area and restaurants in Hanalei so you really need a rental car to get around."
"We had great experience at the Westin Villas. The rooms and surrounding were very clean Airconditioning worked well, and rainshower was nice. Beds and pillows were comfortable Everyone was very friendly and helpful We didn’t have a car the first few days and the shuttle to St Regis for dinners and to the Avis rental was helpful when we needed to rent a car. Wi-Fi worked great in all areas"
"Westin Princeville is a nice property, and the grounds are lovely & well maintained, but it is not located on the beach, nor can you see the water from most of the rooms. The hotel sits high on a cliff. This is a time-share property & if I were an owner, I would not be happy with the lack of views from most of the rooms. We overlooked part golf course & part parking lot in bldg. 6.
Parking is not good. The small lot in b/w 3 bldgs. filled up & had to park & walk a distance away.

The weather was not the best, but during nicer weather, the pools & pool areas were packed. There are several pools, but areas are small. We finally got in the hot tub, & 6 young children ran over & got in....1 was spitting in the water. Hot tub time over. Need adults only pool.

Our room was very nice, but....We were in a villa and they all have connecting doors to the Villa next-door. We could hear people talking loudly and slamming dishes in the kitchen cabinets all hours of the day and night & the washer and dryer going all hours of the day and night. We also had loud elephants above our room stomping as well. I was a little surprised.

The employees were all helpful & very nice. Front desk staff were very polite & professional. The property offers a “tidy room” program where you can skip your room cleaning for the day for 1 free breakfast. I think this was brilliant & more hotels should this. It saves the hotel $$ & they pass that onto the customer. Very smart business. Breakfast was always a challenge as the birds were flocking into the dining area. We only ate breakfast 4x & all the food was awesome! Especially the loco moco. Highly recommend.

There’s not a lot to do @ the hotel since there’s no beach. They give you a pass to go to the St Regis beach 10 minutes away. 
The Westin has an odd vibe....or really lack thereof. If you like to hang out at the pool and not go anywhere, this is the place for you. 
It’s good for families with younger children. I personally could not imagine staying longer than 5 nights @ this property."
"Could not have been happier with our stay. Comfortable rooms, enough space for us all, friendly staff, great amenities, and very clean. The pool was amazing, the villa and grounds were pristine. Just an overall beautiful place. Can't wait to go back."
Our recent stay at the Westin Princeville Ocean Resort Villas was very pleasant. Our villa was lovely...clean and well appointed. The pools were nice and rarely crowded. Parking was not convenient because the closest lot was small and filled up fast. We usually had to park near the resort entrance and hike to our villa. The restaurants were very nice and all the staff were helpful.
"The Westin resort was great...the Fun Team made it AWESOME! A big ""thank you"" to Masa, Dereck and Jillian for playing many games of ping-pong with me. It helped pass the afternoons while my parents were lazy in the shade! - Bryce"
"This is a great place to getaway from the usual chaos of life. Its NOT a beach resort so its not badly overrun by children, teens, and party goers--if you want that vibe try Maui. but you can access the lovely local beaches (try Anini...More"
"We recently celebrated our 37th anniversary at the Westin Princeville Villas. The grounds were beautiful and the room, a studio, was nicely appointed and very clean. It was nice to have a full kitchen in case you wanted to stay in for meals. The hallways...More"
"There is no direct beach access here. But trust me, you won't miss it much. The Westin Princeville property sits on a cliff overlooking the ocean and is immediately adjacent to part of the Makai golf course in Princeville. The grounds have beautiful landscaping, multiple...More"
"We were here for a week in February to March 2018. The weather did not cooperate as it was unusually rainy. Nonetheless, it was a great stay. The resort has about 5 separate pools as well as 3 jacuzzis, a very good fitness centre, a...More"
"The restaurant offers a five course dinner with wine pairings. Each course is a small plate, accompanied by the perfect glass of wine. We highly recommend this culinary experience for a special evening out. $55 pp for the meal plus $22 pp for wine pairing."
"We booked a villa here within 2 weeks of our travel so were happy to get it. I didn't read the website thoroughly enough and did not realize that there are few villas with actual ocean views. Also, I mistook this for a luxury resort...More"
This resort is in the remote island of Kauai. Had a great time. Resort is beautiful. Spent 7 days on the resort. Staff was friendly and very helpful. The waiters of the Waikaili Bar(I think that's the name of the pool bar) were all attentive...More
"We have an ownership at Westin Ka'anapali in Maui but often opt to come to Princeville instead. It is quieter and we find the north shore of Kauai so relaxing and friendly. No fighting for poolside chairs, no parking lots by the pools, no fuss....More"
"Nice place to stay but often has more rain than the southern places. Staff is very friendly and tries to meet your requests. Adult whirlpools are often flooded with kids, clearly against the rules stating no one under 26, but hotel makes no effort to...More"
"Beautiful property in the quiet part of Kauai (North Shore), with opportunity for scenic walks, golf, shopping or dining in nearby Hanalei. Fun birdwatching- nene’s (Hawaiian goose), albatross nesting,etc. comfortable villa with supermarket nearby & well-maintained grills, as well as dining out in Hanalei. Great...More"
We are heading home from a week at the Westin Princeville Ocean Villas and had a great time. The service was great and our bed was super comfortable. They had everything we needed in our condo. We just wish they had access to a beach....More
"We booked our first visit to Kauai at the Westin because we knew they had the convenience of a condo but with amenities we knew and trusted. We were not disappointed. The service was great, and the room was extremely comfortable. I only wish the...More"
"We love the Westin Princeville but we’re so,happy this year when we see “Heather”on the property. She is awesome. Always smiling trying to make our vacation even better.our vacation kick off was the best we have ever had.More"
"We love Princeville and the quiet, peaceful vibe. The Westin resort is in a great area and you can walk to so many things. We love that the Foodland Market is so close, just about a mile away. We also enjoy the 2.5 mile walk...More"
"The resort property is beautiful. The staff are hard working, friendly, and polite. The villa hallways are showing signs of age and disrepair, which is unfortunate. The breakfast buffet is good, but it’s the only meal we ate in the restaurant so I’m not able...More"
"We stayed on site for a full week and had a great time, plenty of areas to relax and tons of activities to do right on site. Our vacation began with our beautiful and very helpful concierge “Liana”. Wow she was great, before we got...More"
"Stayed at many Westin properties, and this one comes with all the amenities you have come to expect out of their locations. The biggest drawback is that you are not near a beach. Closest beach by walking is down a fairly steep wooded jungle path...More"
